Date,Source,Season,SSB
1964,1,1,11.32120915
1965,1,1,8.9294044
1966,1,1,10.60366773
1967,1,1,11.00230185
1968,1,1,10.60366773
1969,1,1,9.965853125
1970,1,1,14.59000898
1971,1,1,12.27793105
1972.67,2,2,1.87490258
1973.08,2,1,2.630985225
1973.83,2,2,4.194715792
1974.33,2,1,1.746106762
1974.83,2,2,3.048254113
1975.08,2,1,3.442604304
1975.67,2,2,4.002917008
1976,2,1,5.907757733
1976.58,2,2,4.33102496
1977.08,2,1,1.506836993
1977.5,2,2,1.303057293
1978.42,2,1,3.013673985
1978.83,2,2,1.893651606
1979.25,2,1,1.714126738
1980.5,2,2,1.734284887
1981.25,2,1,2.398314445
1981.75,2,2,2.234853877
1982.17,2,1,1.934226989
1982.67,2,2,2.610080005
1984.58,2,2,0.778084571
1985.33,3,1,5.863547457
1986.33,3,1,2.856470956
1986.92,3,2,1.597649812
1987.75,3,2,0.777395946
1988.5,3,2,5.38152803
1989.67,3,2,2.850755291
1990.33,3,1,3.262328721
1991.08,3,1,4.317315148
1991.58,3,2,4.113580044
1992.17,2,1,2.567511122
1993.25,2,1,2.023663357
1994.17,2,1,6.143950252
1995.25,2,1,4.335869681
1996.25,2,1,5.680567856
1996.92,2,2,6.128943687
1997.25,3,1,6.547904135
1997.75,3,2,5.029580143
1998.33,3,1,2.248693874
1998.5,3,2,1.044888324
1999.25,3,1,4.159495373
1999.92,3,2,5.394106688
2000.17,3,1,9.046662302
2000.5,3,2,7.76213427
2001.25,3,1,9.583813024
2001.83,3,2,6.591692489
2002.25,3,1,5.864342794
2002.83,3,2,6.46301563
2003.25,3,1,5.4392092
2003.83,3,2,5.347225296
2004.25,3,1,4.616863661
2004.67,3,2,7.066154013
2005.25,3,1,5.851047762
2005.75,3,2,6.263165336
2006.25,3,1,6.946309198
2006.92,3,2,5.829701151
2007.25,3,1,6.543915985
2007.75,3,2,7.031026558
2008.25,3,1,8.116851146
2008.92,3,2,6.652828079
2009.25,3,1,6.695633123
2009.83,3,2,3.257642848
2010.25,3,1,4.644195151
2010.92,3,2,2.905151382
2011.25,3,1,5.444322584
2011.75,3,2,10.05324205
2012.25,3,1,8.575504332
2012.83,3,2,4.492998521
2013.25,3,1,8.498681588
2013.75,3,2,10.0176214
2014.25,3,1,4.401706339
2014.75,3,2,1.012024276
2015.25,3,1,7.794682682
2015.75,3,2,4.578997844
2016.42,3,1,5.110952252
2016.92,3,2,3.785400253
2017.25,3,1,4.805819213
2017.92,3,2,2.665785786
2018.25,3,1,7.76318774
2018.92,3,2,7.195204989
2019.33,3,1,4.278199814
2019.92,3,2,5.350449751
2020.33,3,1,3.998020458
2020.92,3,2,7.394606162
2021.25,3,1,6.091641385
2021.92,3,2,4.167714428
2022.25,3,1,4.785617364
2022.92,3,2,5.048308813
